date.time	NTU
43149.43762	0.088
43149.43764	0.074
43149.43765	0.074
43149.44796	0.059
43149.44797	0.074
43149.44798	0.059
43149.448	0.059
43149.44801	0.096
43149.44802	0.096
43149.44803	0.088
43149.44804	0.081
43149.44805	0.066
43149.44806	0.096
43149.45837	0.081
43149.45839	0.059
43149.4584	0.088
43149.45841	0.074
43149.45842	0.081
43149.45844	0.088
43149.45845	0.066
43149.45846	0.066
43149.45847	0.074
43149.45848	0.074
43149.46879	0.059
43149.46881	0.059
43149.46882	0.074
43149.46883	0.081
43149.46884	0.081
43149.46885	0.081
43149.46886	0.074
43149.46887	0.088
43149.46889	0.074
43149.4689	0.081
43149.47921	0.081
43149.47922	0.074
43149.47923	0.059
43149.47925	0.051
43149.47926	0.066
43149.47927	0.088
43149.47928	0.081
43149.47929	0.051
43149.4793	0.081
43149.47931	0.066
43149.48962	0.059
43149.48964	0.081
43149.48965	0.088
43149.48966	0.081
43149.48967	0.074
43149.48969	0.088
43149.4897	0.074
43149.48971	0.081
43149.48972	0.044
43149.48973	0.066
43149.50004	0.096
43149.50006	0.088
43149.50007	0.096
43149.50008	0.051
43149.50009	0.088
43149.5001	0.066
43149.50011	0.074
43149.50012	0.059
43149.50014	0.081
43149.50015	0.074
43149.51046	0.066
43149.51047	0.066
43149.51048	0.074
43149.5105	0.066
43149.51051	0.074
43149.51052	0.088
43149.51053	0.074
43149.51054	0.074
43149.51055	0.073
43149.51056	0.066
